"","Chirsutav12","pval","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","X","Athaliana","Chir_length","Ath_length","TF","TF_family","Gene_code_name","Gene_functions"
"19","Chir05Ox-b00580.2",0,2.06583927416659,0.993,0.596,0,"0","Chir05Ox-b00580.2",NA,NA,NA,NA,NA,NA,NA,NA
"20","Chir04Ox-b19950.2",0,2.06013079711712,0.998,0.87,0,"0","Chir04Ox-b19950.2",NA,NA,NA,NA,NA,NA,NA,NA
"21","Chir01Ox-b07330.2",0,2.01630544584045,0.992,0.681,0,"0","Chir01Ox-b07330.2",NA,NA,NA,NA,NA,NA,NA,NA
"22","Chir01Ox-b07290.2",0,1.98220943813506,0.997,0.873,0,"0","Chir01Ox-b07290.2",610,"AT1G07790",943,852,NA,NA,"HTB1","chloroplast, DNA binding, extracellular region, nucleosome assembly, nucleus, protein binding, protein heterodimerization activity, structural constituent of chromatin"
"23","Chir02Ox-b09920.2",0,1.9449770175157,0.99,0.7,0,"0","Chir02Ox-b09920.2",NA,NA,NA,NA,NA,NA,NA,NA
"24","Chir04Ox-b12380.2",0,1.87906050631273,0.98,0.585,0,"0","Chir04Ox-b12380.2",8945,"AT2G30620",1460,1751,NA,NA,"H1.2","double-stranded DNA binding, mitochondrion, negative regulation of DNA recombination, nucleolus, nucleosomal DNA binding, nucleosome, nucleosome assembly, nucleus, structural constituent of chromatin"
"25","Chir05Ox-b10680.2",0,1.82788612357044,0.964,0.521,0,"0","Chir05Ox-b10680.2",NA,NA,NA,NA,NA,NA,NA,NA
"26","Chir05Ox-b19180.2",0,1.8065097330219,0.977,0.647,0,"0","Chir05Ox-b19180.2",11808,"AT2G37470",678,1001,NA,NA,"HTB5","DNA binding, endoplasmic reticulum, nucleosome assembly, nucleus, protein heterodimerization activity, structural constituent of chromatin"
"27","Chir05Ox-b20030.2",0,1.77901191951556,0.994,0.513,0,"0","Chir05Ox-b20030.2",11882,"AT3G54560",1775,1586,NA,NA,"HTA11","defense response to bacterium, detection of temperature stimulus, DNA binding, flower development, negative regulation of DNA-templated transcription, nucleus, protein binding, protein heterodimerization activity, regulation of DNA methylation, regulation of gene expression, response to osmotic stress, structural constituent of chromatin"
"28","Chir04Ox-b10370.2",0,1.68964661906097,0.963,0.505,0,"0","Chir04Ox-b10370.2",8797,"AT2G28720",1408,1000,NA,NA,"HTB3","DNA binding, nucleosome assembly, nucleus, peroxisome, protein heterodimerization activity, structural constituent of chromatin"
"29","Chir07Ox-b24380.2",0,1.64166128797703,0.983,0.594,0,"0","Chir07Ox-b24380.2",17124,"AT4G27230",1664,1213,NA,NA,"HTA2","cytosol, DNA binding, negative regulation of macromolecule metabolic process, negative regulation of metabolic process, nucleus, protein heterodimerization activity, response to light stimulus, structural constituent of chromatin"
"30","Chir01Ox-b08430.2",0,1.63191806025237,0.945,0.415,0,"0","Chir01Ox-b08430.2",709,"AT1G08880",877,1206,NA,NA,"HTA5","DNA binding, extracellular region, nucleus, protein heterodimerization activity, structural constituent of chromatin"
"31","Chir08Ox-b28040.2",0,1.4600216310488,0.668,0.187,0,"0","Chir08Ox-b28040.2",NA,NA,NA,NA,NA,NA,NA,NA
"32","Chir05Ox-b10720.2",0,1.39551466959883,0.963,0.598,0,"0","Chir05Ox-b10720.2",NA,NA,NA,NA,NA,NA,NA,NA
"33","Chir02Ox-b23040.2",0,1.28518283017785,0.927,0.288,0,"0","Chir02Ox-b23040.2",NA,NA,NA,NA,NA,NA,NA,NA
"34","Chir01Ox-b20520.2",0,1.28425807402602,1,0.936,0,"0","Chir01Ox-b20520.2",NA,NA,NA,NA,NA,NA,NA,NA
"35","Chir01Ox-b35900.2",0,1.26468707209971,0.624,0.181,0,"0","Chir01Ox-b35900.2",2872,"AT1G47210",2182,2223,NA,NA,"CYCA3;2","cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, mitotic cell cycle phase transition, nucleus, regulation of cyclin-dependent protein serine/threonine kinase activity"
"36","Chir04Ox-b21360.2",0,1.17368962480567,0.915,0.426,0,"0","Chir04Ox-b21360.2",9680,"AT2G38810",2051,1708,NA,NA,"HTA8","DNA binding, nucleolus, nucleus, protein heterodimerization activity, regulation of DNA methylation, regulation of flower development, regulation of gene expression, structural constituent of chromatin"
"37","Chir06Ox-b28270.2",0,1.08875722066441,0.999,0.977,0,"0","Chir06Ox-b28270.2",14621,"AT4G40030",1382,1574,NA,NA,"H3.3","DNA binding, nucleosome, nucleus, organelle organization, plasma membrane, protein heterodimerization activity, response to lipid, structural constituent of chromatin"
"38","Chir08Ox-b16610.2",0,1.06464724185135,0.969,0.702,0,"0","Chir08Ox-b16610.2",19376,"AT5G54640",1171,1205,NA,NA,"HTA1","DNA binding, DNA-mediated transformation, nucleolus, nucleus, plastid, protein binding, protein heterodimerization activity, response to bacterium, response to wounding, structural constituent of chromatin"
"39","Chir06Ox-b16310.2",0,1.02803868043359,0.832,0.412,0,"0","Chir06Ox-b16310.2",13619,"AT5G23420",2114,1894,NA,NA,"HMGB6","DNA binding, DNA-binding transcription factor activity, karyogamy, nucleus, polar nucleus fusion"
"40","Chir04Ox-b25010.2",0,0.913351424216832,0.868,0.249,0,"0","Chir04Ox-b25010.2",9991,"AT2G42260",1794,1833,NA,NA,"PYM","DNA endoreduplication, endosperm development, megagametogenesis, negative regulation of ubiquitin protein ligase activity, nucleus, positive regulation of defense response to bacterium, protein binding, regulation of nuclear division, response to UV-B, trichome branching"
"41","Chir08Ox-b23470.2",0,0.836401361950142,0.53,0.145,0,"0","Chir08Ox-b23470.2",19935,"AT5G61000",3304,3376,NA,NA,"RPA70D","damaged DNA binding, DNA replication factor A complex, DNA unwinding involved in DNA replication, double-strand break repair via homologous recombination, meiotic cell cycle, nucleotide-excision repair, nucleus, single-stranded telomeric DNA binding, telomere maintenance via telomerase"
"42","Chir01Ox-b20510.2",0,0.809436390885219,0.969,0.634,0,"0","Chir01Ox-b20510.2",1739,"AT1G20693",2471,2148,NA,NA,"HMG BETA 1","chromatin, chromatin binding, DNA binding, DNA-binding transcription factor activity, nucleus, structural constituent of chromatin"
"43","Chir01Ox-b36570.2",0,0.798391587999953,0.979,0.771,0,"0","Chir01Ox-b36570.2",2917,"AT1G47970",1782,1869,NA,NA,"T2J15.12","molecular_function, negative regulation of metabolic process, nucleus"
"44","Chir01Ox-b11230.2",0,0.794045777694591,0.928,0.397,0,"0","Chir01Ox-b11230.2",941,"AT1G80740",4584,4654,NA,NA,"CMT1","chromatin binding, DNA (cytosine-5-)-methyltransferase activity, DNA-mediated transformation, nucleus"
"45","Chir02Ox-b11720.2",0,0.741863476100674,0.779,0.226,0,"0","Chir02Ox-b11720.2",4152,"AT1G57820",3771,4134,NA,NA,"VIM1","cell division, chromatin binding, chromatin organization, chromocenter, DNA methylation on cytosine, DNA methylation on cytosine within a CG sequence, double-stranded methylated DNA binding, histone binding, maintenance of DNA methylation, methyl-CpG binding, methyl-CpNpG binding, methyl-CpNpN binding, nucleus, pericentric heterochromatin formation, positive regulation of DNA methylation-dependent heterochromatin formation, ubiquitin protein ligase activity, ubiquitin-protein transferase activity"
"46","Chir01Ox-b15040.2",0,0.737482408635003,0.767,0.308,0,"0","Chir01Ox-b15040.2",1254,"AT1G14900",1164,1351,NA,NA,"HMGA","chloroplast, chromatin, cytosol, DNA binding, double-stranded DNA binding, negative regulation of DNA recombination, nucleolus, nucleosomal DNA binding, nucleosome, nucleosome assembly, nucleus, regulation of DNA-templated transcription"
"47","Chir02Ox-b10310.2",0,0.722162241766036,0.675,0.211,0,"0","Chir02Ox-b10310.2",4075,"AT1G67780",3422,3131,NA,NA,"DDR3","ISWI-type complex, nucleus, protein binding, regulation of DNA-templated transcription, tissue development"
"48","Chir07Ox-b23740.2",0,0.71164935247455,0.986,0.866,0,"0","Chir07Ox-b23740.2",17073,"AT4G26630",5169,5365,NA,NA,"DEK3","chromatin binding, chromatin remodeling, cytosol, histone binding, negative regulation of DNA-templated transcription, nucleolus, nucleus, protein binding, regulation of DNA-templated transcription, regulation of double-strand break repair, response to salt stress"
"49","Chir06Ox-b26430.2",0,0.64929286877317,0.501,0.151,0,"0","Chir06Ox-b26430.2",14467,"AT5G13060",4324,4230,NA,NA,"AT5G13060.1","chloroplast, DNA replication preinitiation complex, DNA-templated DNA replication, negative regulation of cell population proliferation, negative regulation of DNA-templated DNA replication, nucleus, protein binding, regulation of cell population proliferation"
"50","Chir01Ox-b03130.2",0,0.647759088619695,0.487,0.2,0,"0","Chir01Ox-b03130.2",263,"AT1G04020",3810,3769,NA,NA,"ATBARD1","BRCA1-A complex, BRCA1-BARD1 complex, DNA binding, DNA repair, double-strand break repair via homologous recombination, leaf development, negative regulation of fatty acid biosynthetic process, negative regulation of histone acetylation, nucleus, plasma membrane, positive regulation of histone acetylation, positive regulation of transcription by RNA polymerase II, regulation of meristem structural organization, ubiquitin-protein transferase activity"
"51","Chir01Ox-b36420.2",0,0.643507512579034,0.895,0.338,0,"0","Chir01Ox-b36420.2",2908,"AT5G48600",7459,7614,NA,NA,"ATSMC3","ATP binding, ATP hydrolysis activity, chromosome, embryo development ending in seed dormancy, mitotic chromosome condensation, mitotic sister chromatid segregation, nucleus"
"52","Chir07Ox-b35650.2",0,0.639548951732273,1,1,0,"0","Chir07Ox-b35650.2",NA,NA,NA,NA,NA,NA,NA,NA
"53","Chir03Ox-b16970.2",0,0.634377890933865,0.938,0.685,0,"0","Chir03Ox-b16970.2",6878,"AT3G17160",1384,1031,NA,NA,"K14A17.24","biological_process, molecular_function, nucleus"
"54","Chir04Ox-b01040.2",0,0.626060750932962,0.73,0.449,0,"0","Chir04Ox-b01040.2",8254,"AT2G21790",4477,4600,NA,NA,"R1","ATP binding, cytoplasm, deoxyribonucleoside triphosphate biosynthetic process, deoxyribonucleotide biosynthetic process, DNA replication, ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor, ribonucleoside-diphosphate reductase complex"
"55","Chir05Ox-b13610.2",0,0.61190853370826,0.929,0.611,0,"0","Chir05Ox-b13610.2",11391,"AT3G48710",4030,3693,NA,NA,"T8P19.220","chromatin binding, chromatin remodeling, cytoplasm, cytosol, histone binding, negative regulation of DNA-templated transcription, nucleolus, nucleus, regulation of DNA-templated transcription, regulation of double-strand break repair"
"56","Chir06Ox-b29260.2",0,0.595861649604045,0.905,0.572,0,"0","Chir06Ox-b29260.2",14708,"AT5G10010",3935,3975,NA,NA,"HIT4","chromocenter, cytoplasm, heat acclimation, molecular_function, negative regulation of gene expression, epigenetic, nucleolus, regulation of cellular response to heat, response to heat"
"57","Chir05Ox-b27730.2",0,0.587515057459024,0.998,0.938,0,"0","Chir05Ox-b27730.2",12485,"AT3G62030",1664,2374,NA,NA,"ROC4","apoplast, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, cyclosporin A binding, cysteine biosynthetic process, cytoplasm, cytosol, cytosolic ribosome, mRNA binding, peptidyl-prolyl cis-trans isomerase activity, protein binding, protein folding, response to abscisic acid, response to light intensity, response to mannitol, response to oxidative stress, response to salt stress, signal transduction, thylakoid, thylakoid lumen"
"58","Chir01Ox-b00900.2",0,0.584283842063437,0.852,0.341,0,"0","Chir01Ox-b00900.2",79,"AT1G01370",2352,2990,NA,NA,"HTR12","cell division, centromere complex assembly, chromatin, chromosome, centromeric region, double fertilization forming a zygote and endosperm, meiotic cell cycle, meiotic chromosome separation, nucleus, protein binding, protein heterodimerization activity, structural constituent of chromatin"
"59","Chir08Ox-b27900.2",0,0.563256512533345,1,0.966,0,"0","Chir08Ox-b27900.2",20330,"AT5G65220",3411,1517,NA,NA,"PRPL29","chloroplast, chloroplast envelope, chloroplast nucleoid, chloroplast stroma, plastid, structural constituent of ribosome, translation"
"60","Chir01Ox-b43890.2",0,0.563014706634108,0.995,0.891,0,"0","Chir01Ox-b43890.2",3446,"AT1G55490",3863,3698,NA,NA,"CPN60B","apoplast, cell death, chaperone cofactor-dependent protein refolding, chloroplast, chloroplast envelope, chloroplast stroma, cytosolic ribosome, mRNA binding, nucleus, protein binding, protein folding, protein refolding, response to cold, stromule, systemic acquired resistance"
"61","Chir05Ox-b19000.2",0,0.562296813319967,0.999,0.944,0,"0","Chir05Ox-b19000.2",NA,NA,NA,NA,NA,NA,NA,NA
"62","Chir01Ox-b37220.2",0,0.555111855122932,0.937,0.664,0,"0","Chir01Ox-b37220.2",2969,"AT1G48620",2907,3021,NA,NA,"HON5","DNA-mediated transformation, double-stranded DNA binding, negative regulation of DNA recombination, nucleolus, nucleosomal DNA binding, nucleosome, nucleosome assembly, nucleus"
"63","Chir05Ox-b29150.2",0,0.549312990085531,0.999,0.953,0,"0","Chir05Ox-b29150.2",12609,"AT3G63490",2064,2152,NA,NA,"EMB3126","chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, cytosol, cytosolic large ribosomal subunit, maturation of LSU-rRNA, mRNA binding, nucleus, RNA binding, structural constituent of ribosome, translation"
"64","Chir06Ox-b24500.2",0,0.548399916363211,0.995,0.858,0,"0","Chir06Ox-b24500.2",14299,"AT5G14910",2059,2099,NA,NA,"AT5G14910.1","chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, embryo development ending in seed dormancy, metal ion binding, plastid, porphyrin-containing compound metabolic process, response to radiation, tetrapyrrole biosynthetic process, thylakoid"
"65","Chir05Ox-b20230.2",0,0.548343986864079,0.849,0.38,0,"0","Chir05Ox-b20230.2",11899,"AT3G54750",4418,4251,NA,NA,"T5N23.110","molecular_function, negative regulation of cellular process, nuclear DNA replication, nucleus"
"66","Chir05Ox-b05440.2",0,0.53956263659328,0.998,0.948,0,"0","Chir05Ox-b05440.2",NA,NA,NA,NA,NA,NA,NA,NA
"67","Chir01Ox-b27570.2",0,0.537631131613224,0.999,0.954,0,"0","Chir01Ox-b27570.2",2329,"AT1G29070",1458,1616,NA,NA,"PRPL34","cellular lipid metabolic process, chloroplast, lipid biosynthetic process, mitochondrial large ribosomal subunit, organic acid biosynthetic process, porphyrin-containing compound metabolic process, structural constituent of ribosome, translation"
"68","Chir06Ox-b30720.2",0,0.534187339588302,0.959,0.756,0,"0","Chir06Ox-b30720.2",14827,"AT5G08280",2274,2327,NA,NA,"RUG1","apoplast, chlorophyll biosynthetic process, chloroplast, chloroplast envelope, chloroplast RNA modification, chloroplast stroma, cytoplasm, heme biosynthetic process, hydroxymethylbilane synthase activity, plasma membrane, porphyrin-containing compound biosynthetic process, protein binding, protoporphyrinogen IX biosynthetic process"
"69","Chir04Ox-b25760.2",0,0.527026123074654,0.996,0.911,0,"0","Chir04Ox-b25760.2",10055,"AT2G43030",1174,1086,NA,NA,"PRPL3","chloroplast, chloroplast envelope, chloroplast stroma, cytosol, mRNA binding, structural constituent of ribosome, translation"
"70","Chir07Ox-b21800.2",0,0.525255968205801,0.999,0.974,0,"0","Chir07Ox-b21800.2",16908,"AT4G24770",4959,3658,NA,NA,"RBP31","base conversion or substitution editing, chloroplast, chloroplast envelope, chloroplast rRNA processing, chloroplast stroma, chloroplast thylakoid membrane, cold acclimation, cytosol, innate immune response, mRNA binding, poly(U) RNA binding, response to cold, RNA binding, RNA modification, RNA processing, RNA stabilization, thylakoid"
"71","Chir06Ox-b23350.2",0,0.524515476601844,0.814,0.495,0,"0","Chir06Ox-b23350.2",14202,"AT5G16030",2864,2778,NA,NA,"F1N13.170","mitochondrion, molecular_function, nucleus, porphyrin-containing compound metabolic process, protein-containing complex assembly, response to bacterium, response to light intensity, response to red or far red light"
"72","Chir05Ox-b03370.2",0,0.523445509962235,0.998,0.933,0,"0","Chir05Ox-b03370.2",10778,"AT3G26060",1844,1911,NA,NA,"ATPRX Q","cell redox homeostasis, cellular response to oxidative stress, chloroplast, chloroplast envelope, chloroplast stromal thylakoid, chloroplast thylakoid, chloroplast thylakoid membrane, cytoplasm, cytosol, mRNA binding, peroxiredoxin activity, plastoglobule, protein binding, thioredoxin peroxidase activity"
"73","Chir05Ox-b09560.2",0,0.518865634512763,0.993,0.879,0,"0","Chir05Ox-b09560.2",11135,"AT3G44890",1881,2328,NA,NA,"RPL9","chloroplast, chloroplast envelope, chloroplast stroma, cytosol, mitochondrion, mRNA binding, plastid large ribosomal subunit, structural constituent of ribosome, translation"
"74","Chir01Ox-b15900.2",0,0.518345801513274,0.999,0.986,0,"0","Chir01Ox-b15900.2",1329,"AT1G15820",1474,1418,NA,NA,"LHCB6","chlorophyll binding, chloroplast, chloroplast envelope, chloroplast thylakoid, chloroplast thylakoid membrane, mRNA binding, nonphotochemical quenching, nucleus, photosynthesis, photosynthesis, light harvesting in photosystem I, photosystem II antenna complex, response to light stimulus, thylakoid"
"75","Chir07Ox-b31680.2",0,0.517463740157726,0.999,0.953,0,"0","Chir07Ox-b31680.2",17753,"AT4G34290",1621,1594,NA,NA,"SWIB3","molecular_function, nucleus, plasma membrane, seed development"
"76","Chir05Ox-b03240.2",0,0.517070404730303,0.998,0.933,0,"0","Chir05Ox-b03240.2",10767,"AT3G25920",1664,1600,NA,NA,"RPL15","chloroplast, chloroplast envelope, chloroplast stroma, cytosol, cytosolic large ribosomal subunit, mRNA binding, plastid large ribosomal subunit, structural constituent of ribosome, translation"
"77","Chir04Ox-b24970.2",0,0.51629033013971,0.988,0.833,0,"0","Chir04Ox-b24970.2",9987,"AT2G42220",1448,1462,NA,NA,"T24P15.13","chloroplast, chloroplast thylakoid, chloroplast thylakoid membrane, cytosol, molecular_function, porphyrin-containing compound metabolic process, response to light stimulus"
"78","Chir03Ox-b14360.2",0,0.515946262967614,0.369,0.093,0,"0","Chir03Ox-b14360.2",6653,"AT3G14740",1551,1506,NA,NA,"MIE1.25","cellular_component, molecular_function, nucleus, regulation of transcription by RNA polymerase II"
"79","Chir03Ox-b17830.2",0,0.513849503012786,0.837,0.452,0,"0","Chir03Ox-b17830.2",NA,NA,NA,NA,NA,NA,NA,NA
"80","Chir02Ox-b25690.2",0,0.513674851196228,0.999,0.922,0,"0","Chir02Ox-b25690.2",5226,"AT1G78630",1647,2074,NA,NA,"emb1473","chloroplast, chloroplast envelope, chloroplast stroma, cytosolic large ribosomal subunit, embryo development ending in seed dormancy, mitochondrion, mRNA binding, negative regulation of translation, ribosome, structural constituent of ribosome, thylakoid, translation"
"81","Chir05Ox-b17580.2",0,0.512570531014212,0.99,0.874,0,"0","Chir05Ox-b17580.2",11677,"AT3G52150",1534,1452,NA,NA,"PSRP2","chloroplast, chloroplast envelope, chloroplast rRNA processing, chloroplast stroma, chloroplast thylakoid membrane, cytosol, mRNA binding, negative regulation of response to salt stress, negative regulation of response to water deprivation, regulation of seed germination, regulation of seedling development, response to cold, response to salt stress, response to water deprivation, RNA binding, single-stranded DNA binding, thylakoid"
"82","Chir05Ox-b19690.2",0,0.511472023397738,0.992,0.877,0,"0","Chir05Ox-b19690.2",11852,"AT3G54210",1726,1074,NA,NA,"PRPL17","cellular lipid metabolic process, chloroplast, chloroplast envelope, chloroplast stroma, cytosol, cytosolic large ribosomal subunit, large ribosomal subunit, lipid biosynthetic process, porphyrin-containing compound biosynthetic process, protein-containing complex assembly, structural constituent of ribosome, translation"
"83","Chir01Ox-b36930.2",0,0.509291615086444,0.996,0.913,0,"0","Chir01Ox-b36930.2",2945,"AT1G48350",1252,1330,NA,NA,"EMB3105","5S rRNA binding, carboxylic acid biosynthetic process, chloroplast, chloroplast envelope, chloroplast stroma, nucleus, response to light stimulus, structural constituent of ribosome, translation"
"84","Chir06Ox-b18330.2",0,0.502637406298744,1,0.988,0,"0","Chir06Ox-b18330.2",13793,"AT5G20720",1784,2036,NA,NA,"CPN20","apoplast, ATP binding, calmodulin binding, chaperone binding, chaperone cofactor-dependent protein refolding, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, copper ion binding, metal ion binding, mitochondrial matrix, mitochondrion, negative regulation of abscisic acid-activated signaling pathway, plastid, positive regulation of superoxide dismutase activity, protein binding, protein heterotetramerization, response to cold, thylakoid, unfolded protein binding"
"85","Chir01Ox-b33580.2",0,0.502335744027246,0.997,0.94,0,"0","Chir01Ox-b33580.2",2742,"AT1G35680",1764,1745,NA,NA,"ASD","chloroplast, chloroplast envelope, chloroplast organization, chloroplast stroma, embryo development ending in seed dormancy, mRNA binding, nucleus, structural constituent of ribosome, thylakoid membrane organization, translation"
"86","Chir01Ox-b31600.2",0,0.502102017550285,0.987,0.828,0,"0","Chir01Ox-b31600.2",2617,"AT1G32990",1459,1746,NA,NA,"PRPL11","chloroplast, chloroplast envelope, chloroplast stroma, cytosolic large ribosomal subunit, cytosolic ribosome, large ribosomal subunit, large ribosomal subunit rRNA binding, nucleus, response to cold, structural constituent of ribosome, translation"
"87","Chir03Ox-b07950.2",0,0.499162599659045,0.995,0.895,0,"0","Chir03Ox-b07950.2",6114,"AT3G08740",1746,1675,NA,NA,"F17O14.21","chloroplast, chloroplast stroma, cytoplasm, cytosol, embryo development ending in seed dormancy, porphyrin-containing compound biosynthetic process, response to light stimulus, translation elongation factor activity, translational elongation"
"88","Chir04Ox-b20270.2",0,0.496067479239391,0.997,0.913,0,"0","Chir04Ox-b20270.2",9586,"AT2G37220",3332,2056,NA,NA,"CP29B","chloroplast, chloroplast envelope, chloroplast rRNA processing, chloroplast stroma, chloroplast thylakoid, chloroplast thylakoid membrane, endoplasmic reticulum, innate immune response, mRNA binding, poly(U) RNA binding, response to abscisic acid, response to cold, stromule, thylakoid"
"89","Chir04Ox-b15540.2",0,0.495785420328724,0.992,0.874,0,"0","Chir04Ox-b15540.2",9185,"AT2G33450",1052,1077,NA,NA,"PRPL28","carboxylic acid biosynthetic process, cellular lipid metabolic process, chloroplast, chloroplast envelope, chloroplast stroma, endoplasmic reticulum, mitochondrial large ribosomal subunit, mRNA binding, structural constituent of ribosome, translation"
"90","Chir06Ox-b18240.2",0,0.495508434409254,0.687,0.248,0,"0","Chir06Ox-b18240.2",13784,"AT5G20850",2631,2477,NA,NA,"ATRAD51","ATP-dependent activity, acting on DNA, chromosome, chromosome organization involved in meiotic cell cycle, condensed nuclear chromosome, DNA metabolic process, DNA recombinase assembly, DNA strand exchange activity, double-strand break repair, double-strand break repair via homologous recombination, double-strand break repair via synthesis-dependent strand annealing, double-stranded DNA binding, mitotic recombination, mitotic recombination-dependent replication fork processing, nucleus, protein binding, reciprocal meiotic recombination, regulation of DNA-templated transcription, response to gamma radiation, response to radiation, single-stranded DNA binding, strand invasion"
"91","Chir06Ox-b25090.2",0,0.494371533460603,0.998,0.931,0,"0","Chir06Ox-b25090.2",14349,"AT5G14320",1424,1763,NA,NA,"EMB3137","carboxylic acid biosynthetic process, chloroplast, chloroplast envelope, chloroplast stroma, mitochondrion, mRNA binding, response to light stimulus, RNA binding, small ribosomal subunit, structural constituent of ribosome, translation"
"92","Chir03Ox-b12360.2",0,0.491337580727353,0.995,0.916,0,"0","Chir03Ox-b12360.2",6494,"AT3G13120",1726,2356,NA,NA,"PRPS10","chloroplast, chloroplast stroma, cytosol, mitochondrion, mRNA binding, porphyrin-containing compound biosynthetic process, protein-containing complex assembly, response to light stimulus, seed development, small ribosomal subunit, structural constituent of ribosome, translation"
"93","Chir07Ox-b14380.2",0,0.490585121163163,0.998,0.918,0,"0","Chir07Ox-b14380.2",16325,"AT4G17560",1746,1959,NA,NA,"DL4815W","chloroplast, chloroplast envelope, chloroplast stroma, cytosol, mRNA binding, porphyrin-containing compound metabolic process, response to light stimulus, seed development, structural constituent of ribosome, translation"
