,Chirsutav12,pval,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,X,Athaliana,Chir_length,Ath_length,TF,TF_family,Gene_code_name,Gene_functions
35,Chir03Ox-b08480.2,0,4.136701268,0.433,0.072,0,2,Chir03Ox-b08480.2,6161,AT3G09260,10070,3304,NA,NA,PYK10,"beta-glucosidase activity, carbohydrate metabolic process, cellular response to cold, chloroplast, copper ion binding, cytosol, endoplasmic reticulum, ER body, ER body organization, fucosidase activity, glucosinolate catabolic process, glucosinolate metabolic process, indole glucosinolate catabolic process, indole glucosinolate metabolic process, negative regulation of defense response, nucleus, peroxisome, plant-type vacuole, plasmodesma, protease binding, protein binding, protein homodimerization activity, response to osmotic stress, response to salt stress, response to symbiotic fungus, scopolin beta-glucosidase activity, thioglucosidase activity"
36,Chir03Ox-b10860.2,0,0.817489985,0.347,0.04,0,2,Chir03Ox-b10860.2,6361,AT3G11600,1298,1098,NA,NA,AT3G11600.1,"nucleus, protein binding, root hair cell development"
37,Chir03Ox-b16210.2,0,2.326343769,0.411,0.027,0,2,Chir03Ox-b16210.2,NA,NA,NA,NA,NA,NA,NA,NA
38,Chir03Ox-b16230.2,0,3.239726379,0.619,0.07,0,2,Chir03Ox-b16230.2,NA,NA,NA,NA,NA,NA,NA,NA
39,Chir03Ox-b26570.2,0,0.881121197,0.468,0.071,0,2,Chir03Ox-b26570.2,7604,AT2G04570,2217,1784,NA,NA,GGL14,"acyl-[acyl-carrier-protein] hydrolase activity, carboxylic acid metabolic process, extracellular region"
40,Chir03Ox-b32650.2,0,0.771207677,0.354,0.025,0,2,Chir03Ox-b32650.2,NA,NA,NA,NA,NA,NA,NA,NA
41,Chir03Ox-b34040.2,0,0.598086372,0.382,0.07,0,2,Chir03Ox-b34040.2,8053,AT2G19460,790,906,NA,NA,F27F23.23,"carbohydrate derivative metabolic process, cellular catabolic process, molecular_function, nucleus, response to lipid, small molecule metabolic process"
42,Chir04Ox-b01250.2,0,0.528595747,0.446,0.065,0,2,Chir04Ox-b01250.2,8267,AT2G22000,1526,1090,NA,NA,PROPEP6,"innate immune response, molecular_function, nucleus"
43,Chir04Ox-b01290.2,0,0.754168174,0.407,0.053,0,2,Chir04Ox-b01290.2,NA,NA,NA,NA,NA,NA,NA,NA
44,Chir04Ox-b07440.2,0,0.455435928,0.459,0.084,0,2,Chir04Ox-b07440.2,8618,AT2G26650,6977,4888,NA,NA,AKT1,"identical protein binding, inward rectifier potassium channel activity, plasma membrane, potassium ion import across plasma membrane, potassium ion transport, protein binding, regulation of stomatal closure, response to salt stress, response to water deprivation, root hair elongation"
45,Chir04Ox-b11590.2,0,0.62457164,0.491,0.071,0,2,Chir04Ox-b11590.2,8884,AT2G30010,4209,3719,NA,NA,TBL45,"Golgi apparatus, growth, meristem development, O-acetyltransferase activity"
46,Chir04Ox-b14660.2,0,0.340847888,0.369,0.056,0,2,Chir04Ox-b14660.2,NA,NA,NA,NA,NA,NA,NA,NA
47,Chir04Ox-b18640.2,0,0.396051131,0.399,0.069,0,2,Chir04Ox-b18640.2,9453,AT2G36380,7115,6390,NA,NA,PDR6,"ABC-type transporter activity, alpha-amino acid metabolic process, ATPase-coupled transmembrane transporter activity, growth, jasmonic acid mediated signaling pathway, mitochondrion, plasma membrane, regulation of biological quality, response to inorganic substance, response to wounding, root morphogenesis"
48,Chir04Ox-b21260.2,0,0.9791578,0.414,0.045,0,2,Chir04Ox-b21260.2,9673,AT2G38750,2068,2567,NA,NA,ANNAT4,"calcium ion binding, calcium-dependent phospholipid binding, cell surface, chloroplast, cytoplasm, Golgi apparatus, mRNA binding, plasmodesma, response to abscisic acid, response to cold, response to heat, response to osmotic stress, response to salt stress, response to water deprivation"
49,Chir04Ox-b21270.2,0,0.490808745,0.345,0.045,0,2,Chir04Ox-b21270.2,9674,AT2G38760,1861,1725,NA,NA,ANNAT3,"calcium ion binding, cell surface, chloroplast, cytoplasm, plant-type vacuole, response to cold, response to heat, response to salt stress, response to water deprivation"
50,Chir04Ox-b24360.2,0,0.502144592,0.46,0.073,0,2,Chir04Ox-b24360.2,9934,AT2G41540,2524,3389,NA,NA,GPDHC1,"carbohydrate metabolic process, cytoplasm, cytosol, glycerol-3-phosphate catabolic process, glycerol-3-phosphate dehydrogenase complex, glycerol-3-phosphate metabolic process, NAD binding, NADH oxidation"
51,Chir04Ox-b25720.2,0,0.551111277,0.374,0.047,0,2,Chir04Ox-b25720.2,10051,AT2G42990,1426,1619,NA,NA,F23E6.2,"hydrolase activity, acting on ester bonds"
52,Chir05Ox-b00300.2,0,0.460093183,0.36,0.059,0,2,Chir05Ox-b00300.2,10531,AT2G01340,1504,1336,NA,NA,At17.1,"cellular_component, molecular_function, response to fungus, response to nematode"
53,Chir05Ox-b02670.2,0,0.490770175,0.335,0.025,0,2,Chir05Ox-b02670.2,10720,AT2G03980,2335,3682,NA,NA,AT2G03980.1,"alpha-amino acid metabolic process, aromatic amino acid metabolic process, cellular amine metabolic process, developmental growth, extracellular region, glucosinolate metabolic process, hydrolase activity, acting on ester bonds, indole-containing compound metabolic process, inorganic ion homeostasis, monocarboxylic acid biosynthetic process, plant epidermis development, response to jasmonic acid, response to wounding, root morphogenesis"
54,Chir05Ox-b09500.2,0,1.291784693,0.574,0.06,0,2,Chir05Ox-b09500.2,NA,NA,NA,NA,NA,NA,NA,NA
55,Chir05Ox-b10010.2,0,0.772152049,0.545,0.044,0,2,Chir05Ox-b10010.2,11163,AT3G45290,5046,3972,NA,NA,ATMLO3,"defense response to other organism, immune system process, nucleus, regulation of defense response, regulation of immune system process, response to light stimulus, signal transduction"
56,Chir05Ox-b20670.2,0,0.783246951,0.527,0.096,0,2,Chir05Ox-b20670.2,NA,NA,NA,NA,NA,NA,NA,NA
57,Chir05Ox-b20690.2,0,0.429644783,0.416,0.065,0,2,Chir05Ox-b20690.2,11936,AT3G55130,2690,2614,NA,NA,ATWBC19,"ABC-type transporter activity, ATPase-coupled transmembrane transporter activity, membrane, mitochondrion, transmembrane transport, vacuolar lumen, vacuolar transport"
58,Chir05Ox-b21050.2,0,0.627539344,0.543,0.089,0,2,Chir05Ox-b21050.2,11965,AT3G55470,1974,2248,NA,NA,T22E16.130,"cellular_component, defense response to bacterium, defense response to fungus, hormone-mediated signaling pathway, immune system process, regulation of defense response, response to abscisic acid, response to salicylic acid, response to water deprivation, RNA binding, shoot system development"
59,Chir06Ox-b02260.2,0,0.520521968,0.467,0.099,0,2,Chir06Ox-b02260.2,12777,AT5G45960,3660,3473,NA,NA,AT5G45960.1,"extracellular region, hydrolase activity, acting on ester bonds, organic acid metabolic process"
60,Chir06Ox-b05170.2,0,1.924809424,0.461,0.052,0,2,Chir06Ox-b05170.2,12949,AT5G44020,2615,2203,NA,NA,MRH10.13,"acid phosphatase activity, cell differentiation, cellular lipid metabolic process, developmental growth, extracellular region, monocarboxylic acid metabolic process, plant epidermis development, plant-type vacuole, plasmodesma, plastid, porphyrin-containing compound metabolic process, response to light intensity, root hair elongation, root morphogenesis, unidimensional cell growth"
61,Chir06Ox-b09250.2,0,0.66343349,0.436,0.04,0,2,Chir06Ox-b09250.2,NA,NA,NA,NA,NA,NA,NA,NA
62,Chir06Ox-b13490.2,0,1.767228304,0.765,0.087,0,2,Chir06Ox-b13490.2,13403,AT5G26280,2289,2081,NA,NA,AT5G26280.1,"amino acid metabolic process, carboxylic acid biosynthetic process, chloroplast, defense response to other organism, indole-containing compound metabolic process, plasmodesma, response to organic cyclic compound, response to organonitrogen compound, response to oxidative stress, response to wounding, secondary metabolic process"
63,Chir06Ox-b17250.2,0,1.836084429,0.721,0.1,0,2,Chir06Ox-b17250.2,13696,AT5G22500,3646,3805,NA,NA,AT5G22500.1,"alcohol-forming fatty acyl-CoA reductase activity, chloroplast, fatty-acyl-CoA reductase (alcohol-forming) activity, intracellular membrane-bounded organelle, long-chain fatty-acyl-CoA metabolic process, long-chain-fatty-acyl-CoA reductase activity, plasma membrane, response to salt stress, response to wounding, suberin biosynthetic process"
64,Chir06Ox-b21610.2,0,1.333694456,0.658,0.089,0,2,Chir06Ox-b21610.2,14057,AT5G17700,3694,3430,NA,NA,AT5G17700.1,"antiporter activity, carboxylic acid metabolic process, defense response, membrane, organelle organization, plasma membrane, transmembrane transporter activity, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic transmembrane transporter activity"
65,Chir06Ox-b24060.2,0,0.967233223,0.557,0.089,0,2,Chir06Ox-b24060.2,14263,AT5G15310,1684,1799,Yes,MYB,ATMYB16,"cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process"
66,Chir06Ox-b24990.2,0,0.596531276,0.563,0.085,0,2,Chir06Ox-b24990.2,14340,AT5G14410,797,801,NA,NA,F18O22.200,"biological_process, mitochondrion, molecular_function"
67,Chir06Ox-b26070.2,0,0.446191104,0.439,0.07,0,2,Chir06Ox-b26070.2,14436,AT5G13400,2584,2576,NA,NA,T22N19.50,"cellular lipid metabolic process, chloroplast, developmental growth, developmental growth involved in morphogenesis, monocarboxylic acid metabolic process, oligopeptide transport, regulation of growth, response to cold, response to light stimulus, transmembrane transport, transmembrane transporter activity"
68,Chir06Ox-b32770.2,0,0.694742493,0.389,0.045,0,2,Chir06Ox-b32770.2,14996,AT5G06270,1404,1715,NA,NA,AT5G06270.1,"negative regulation of DNA-templated transcription, nucleus, protein binding, root hair cell development"
69,Chir06Ox-b33100.2,0,0.493451926,0.496,0.09,0,2,Chir06Ox-b33100.2,NA,NA,NA,NA,NA,NA,NA,NA
70,Chir06Ox-b35890.2,0,0.524680301,0.37,0.033,0,2,Chir06Ox-b35890.2,15259,AT5G03120,1616,1494,NA,NA,F15A17.150,"extracellular region, growth, molecular_function, response to lipid"
71,Chir07Ox-b00350.2,0,1.301724908,0.659,0.098,0,2,Chir07Ox-b00350.2,15460,AT5G41810,1790,1728,NA,NA,K16L22.9,"defense response to other organism, immune system process, molecular_function, nucleus, response to organonitrogen compound"
72,Chir07Ox-b02260.2,0,0.621768207,0.414,0.099,0,2,Chir07Ox-b02260.2,15577,AT5G40390,3787,4004,NA,NA,RS5,"chloroplast, cytoplasm, galactinol-sucrose galactosyltransferase activity, mannitol biosynthetic process, raffinose family oligosaccharide biosynthetic process, response to oxidative stress, response to water deprivation, sucrose biosynthetic process"
73,Chir07Ox-b04790.2,0,0.48247142,0.392,0.074,0,2,Chir07Ox-b04790.2,15724,AT5G38260,4634,2145,NA,NA,MXA21.150,"chloroplast, kinase activity, polysaccharide binding, protein phosphorylation, protein serine/threonine kinase activity"
74,Chir07Ox-b12250.2,0,0.595478328,0.455,0.072,0,2,Chir07Ox-b12250.2,16156,AT4G15760,2010,2120,NA,NA,AT4G15760.1,"endoplasmic reticulum, FAD binding, mitochondrion, response to fungus"
75,Chir07Ox-b14210.2,0,2.311363038,0.633,0.071,0,2,Chir07Ox-b14210.2,16313,AT4G17470,2261,2517,NA,NA,AT4G17470.1,"chloroplast, intracellular membrane-bounded organelle, palmitoyl hydrolase activity, thiolester hydrolase activity"
76,Chir07Ox-b15850.2,0,0.681386565,0.464,0.078,0,2,Chir07Ox-b15850.2,16452,AT4G18910,2914,2466,NA,NA,NLM2,"arsenite transmembrane transporter activity, arsenite transport, channel activity, hydrogen peroxide transmembrane transport, plasma membrane, response to arsenic-containing substance, transmembrane transport, water channel activity"
77,Chir07Ox-b15930.2,0,0.609344878,0.482,0.097,0,2,Chir07Ox-b15930.2,16458,AT4G18970,2352,2576,NA,NA,AT4G18970.1,"extracellular region, hydrolase activity, acting on ester bonds"
78,Chir07Ox-b20660.2,0,2.913729123,0.724,0.083,0,2,Chir07Ox-b20660.2,NA,NA,NA,NA,NA,NA,NA,NA
79,Chir07Ox-b23030.2,0,0.403959369,0.423,0.077,0,2,Chir07Ox-b23030.2,17015,AT4G25960,6368,6336,NA,NA,PGP2,"ABC-type transporter activity, ATPase-coupled transmembrane transporter activity, chloroplast, cytosol, transmembrane transport"
80,Chir07Ox-b23930.2,0,0.527720682,0.475,0.068,0,2,Chir07Ox-b23930.2,17090,AT4G26790,1889,1919,NA,NA,GGL23,"hydrolase activity, acting on ester bonds"
81,Chir07Ox-b29730.2,0,0.693315043,0.374,0.035,0,2,Chir07Ox-b29730.2,17579,AT4G32460,2174,2766,NA,NA,BDX,"embryo development ending in seed dormancy, extracellular region, molecular_function, pectin biosynthetic process"
82,Chir07Ox-b31740.2,0,0.539110198,0.429,0.053,0,2,Chir07Ox-b31740.2,17759,AT4G34250,1840,2103,NA,NA,AT4G34250.1,"cytoplasm, fatty acid biosynthetic process, fatty acid elongation, response to light stimulus, very long-chain fatty acid metabolic process, very-long-chain 3-ketoacyl-CoA synthase activity"
83,Chir07Ox-b33760.2,0,0.752617994,0.506,0.065,0,2,Chir07Ox-b33760.2,17935,AT4G36250,2859,2923,NA,NA,ALDH3F1,"aldehyde dehydrogenase (NAD+) activity, cellular aldehyde metabolic process, cytoplasm, endoplasmic reticulum, glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity, plasma membrane"
84,Chir07Ox-b34060.2,0,0.401598978,0.375,0.043,0,2,Chir07Ox-b34060.2,17961,AT4G36640,2515,2546,NA,NA,AT4G36640.1,"cell wall biogenesis, cytoplasm, nucleus, phosphatidylinositol transfer activity, small molecule metabolic process"
85,Chir08Ox-b00630.2,0,0.548147775,0.459,0.091,0,2,Chir08Ox-b00630.2,18307,AT4G00480,3002,3114,Yes,bHLH,myc1,"DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root hair, trichome patterning"
86,Chir08Ox-b06650.2,0,0.454592171,0.369,0.055,0,2,Chir08Ox-b06650.2,18740,AT4G11460,3304,3679,NA,NA,CRK30,"defense response to bacterium, kinase activity, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity"
87,Chir08Ox-b17320.2,0,0.386952817,0.428,0.063,0,2,Chir08Ox-b17320.2,19436,AT5G55340,1994,1401,NA,NA,MTE17.5,"arachidoyl-CoA:1-dodecanol O-acyltransferase activity, long-chain-alcohol O-fatty-acyltransferase activity"
88,Chir08Ox-b20920.2,0,0.518306944,0.416,0.041,0,2,Chir08Ox-b20920.2,19737,AT5G58670,2801,2772,NA,NA,ATPLC1,"abscisic acid-activated signaling pathway, nucleus, phosphatidylinositol phospholipase C activity, phosphatidylinositol-mediated signaling, phospholipase C activity, response to abscisic acid, response to cold, response to salt stress, response to water deprivation"
89,Chir08Ox-b29730.2,0,0.663426756,0.445,0.085,0,2,Chir08Ox-b29730.2,20477,AT5G66800,1163,1311,NA,NA,MUD21.4,"cellular response to oxygen-containing compound, lipid biosynthetic process, molecular_function, monocarboxylic acid metabolic process, nucleus, response to organonitrogen compound, signal transduction, tissue development"
90,Chir01Ox-b41580.2,0,0.255071167,0.378,0.072,0,3,Chir01Ox-b41580.2,3280,AT1G52770,2240,1964,NA,NA,AT1G52770.1,"embryo development ending in seed dormancy, nucleus, seed development"
91,Chir03Ox-b33620.2,0,0.429179953,0.408,0.087,0,3,Chir03Ox-b33620.2,8026,AT2G18969,1437,574,NA,NA,HLH3,"molecular_function, nucleus, regulation of DNA-templated transcription"
92,Chir02Ox-b10470.2,0,0.393638936,0.408,0.096,0,4,Chir02Ox-b10470.2,4087,AT1G65090,2780,2470,NA,NA,AT1G65090.3,"cytoplasm, lipid droplet, nucleus, protein binding, seed development"
93,Chir01Ox-b06000.2,0,0.355043328,0.56,0.075,0,5,Chir01Ox-b06000.2,507,AT1G06660,2994,3108,NA,NA,JASON,"male meiosis II, microsporogenesis, molecular_function, nucleus, regulation of DNA-templated transcription"
94,Chir01Ox-b16130.2,0,0.56952642,0.6,0.066,0,5,Chir01Ox-b16130.2,1350,AT1G16070,2103,3679,NA,NA,AtTLP8,"cytoplasm, cytosol, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, response to fungus"
95,Chir01Ox-b17560.2,0,0.504061862,0.639,0.081,0,5,Chir01Ox-b17560.2,1475,AT1G17480,1994,2088,NA,NA,AT1G17480.1,"cytokinesis, site selection, microtubule, nuclear envelope, nucleus, phragmoplast, preprophase band"
96,Chir01Ox-b32830.2,0,0.349592568,0.523,0.078,0,5,Chir01Ox-b32830.2,2698,AT1G34355,5263,5628,NA,NA,ATPS1,"nuclear membrane, nucleus, plasma membrane, pollen development"
97,Chir03Ox-b04700.2,0,0.264946052,0.477,0.1,0,5,Chir03Ox-b04700.2,5836,AT3G05330,2764,3052,NA,NA,ATN,"cytokinesis by cell plate formation, cytosol, microtubule associated complex, microtubule binding, mitochondrion, phragmoplast assembly, preprophase band, protein binding, regulation of phragmoplast microtubule organization"
98,Chir03Ox-b09520.2,0,0.419086054,0.561,0.075,0,5,Chir03Ox-b09520.2,NA,NA,NA,NA,NA,NA,NA,NA
99,Chir03Ox-b12040.2,0,0.60247844,0.419,0.085,0,5,Chir03Ox-b12040.2,6468,AT3G12870,949,921,NA,NA,MJM20.1,"lipid biosynthetic process, mitochondrion, molecular_function, negative regulation of cellular process, organic hydroxy compound biosynthetic process, plasmodesma"
100,Chir03Ox-b30200.2,0,0.294574113,0.454,0.087,0,5,Chir03Ox-b30200.2,7805,AT2G16270,2914,3006,NA,NA,F16F14.23,"molecular_function, negative regulation of cellular process, nucleus, tissue development"
