"Chirsutav12","pval","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","X","Athaliana","Chir_length","Ath_length","TF","TF_family","Gene_code_name","Gene_functions","gene_ID"
"Chir02Ox-b03100.2",0,1.747167,0.626,0.005,0,15,"Chir02Ox-b03100.2",3701,"AT1G62360",3387,3481,"Yes","TALE","STM","carpel development, cytokinin biosynthetic process, cytoplasm, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, endosome, floral meristem determinacy, microtubule cytoskeleton, nucleus, plasma membrane, plasmodesma, plasmodesmata-mediated intercellular transport, protein binding, protein homodimerization activity, regulation of meristem structural organization, regulation of transcription by RNA polymerase II, RNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, stem cell population maintenance","Chir02Ox-b03100.2"
"Chir02Ox-b17040.2",0,1.249264,0.702,0.005,0,15,"Chir02Ox-b17040.2",4530,"AT1G70510",5816,6393,"Yes","TALE","KNAT2","cytokinin-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to ethylene, RNA polymerase II cis-regulatory region sequence-specific DNA binding, specification of carpel identity","Chir02Ox-b17040.2"
"Chir03Ox-b23740.2",0,0.5131612,0.221,0.005,0,15,"Chir03Ox-b23740.2",7426,"AT3G23635",597,711,NA,NA,"RTFL13","cellular response to hormone stimulus, cellular response to lipid, cellular response to oxygen-containing compound, mitochondrion, molecular_function, negative regulation of cell population proliferation, plasma membrane","Chir03Ox-b23740.2"
"Chir05Ox-b23900.21",4.185553e-256,0.3471396,0.161,0.006,8.228797e-252,15,"Chir05Ox-b23900.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b23900.21"
"Chir07Ox-b06830.2",0,0.4441539,0.257,0.007,0,15,"Chir07Ox-b06830.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b06830.2"
"Chir08Ox-b25430.2",0,0.3787472,0.238,0.008,0,15,"Chir08Ox-b25430.2",20110,"AT5G62920",1982,2311,NA,NA,"ARR6","cytokinin-activated signaling pathway, cytoplasm, intracellular anatomical structure, nucleus, phosphorelay response regulator activity, phosphorelay signal transduction system, protein binding, regulation of DNA-templated transcription, response to cytokinin","Chir08Ox-b25430.2"
"Chir06Ox-b35090.2",1.560604e-225,1.303728,0.178,0.008,3.068148e-221,15,"Chir06Ox-b35090.2",15195,"AT5G03840",1276,1372,NA,NA,"TFL1","cytoplasm, meristem determinacy, negative regulation of flower development, nucleus, plasma membrane, protein targeting to vacuole, response to sucrose, transcription coregulator activity, vacuole, vegetative to reproductive phase transition of meristem, vesicle","Chir06Ox-b35090.2"
"Chir08Ox-b10180.2",0,2.885542,0.792,0.009,0,15,"Chir08Ox-b10180.2",18949,"AT4G08150",3163,3460,"Yes","TALE","KNAT1","cell fate commitment, cell fate specification, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, identical protein binding, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding, xylem and phloem pattern formation, xylem development","Chir08Ox-b10180.2"
"Chir03Ox-b21630.2",0,0.8988066,0.481,0.009,0,15,"Chir03Ox-b21630.2",7261,"AT3G21510",1544,2077,NA,NA,"AHP1","cytokinin-activated signaling pathway, cytoplasm, embryo sac development, histidine phosphotransfer kinase activity, multidimensional cell growth, nucleus, phosphorelay signal transduction system, phosphorylation, positive regulation of cell division, protein binding, protein histidine kinase binding, regulation of cytokinin-activated signaling pathway, signal transduction","Chir03Ox-b21630.2"
"Chir05Ox-b06280.2",3.102114e-183,0.255866,0.169,0.009,6.098757e-179,15,"Chir05Ox-b06280.2",10971,"AT3G28540",2342,2074,NA,NA,"T20D4.4","biological_process, mitochondrion, molecular_function","Chir05Ox-b06280.2"
"Chir05Ox-b14660.2",8.588159e-161,0.2880292,0.158,0.009,1.688432e-156,15,"Chir05Ox-b14660.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b14660.2"
"Chir08Ox-b07900.21",4.655567e-285,0.6753391,0.221,0.01,9.152844e-281,15,"Chir08Ox-b07900.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b07900.21"
"Chir03Ox-b11640.2",2.343528e-181,0.2642891,0.175,0.01,4.607376e-177,15,"Chir03Ox-b11640.2",6431,"AT3G12470",856,866,NA,NA,"T2E22.21","3'-5' exonuclease activity, cytoplasm, nucleic acid binding, nucleus, organelle organization","Chir03Ox-b11640.2"
"Chir03Ox-b11630.2",3.050469e-179,0.2656775,0.169,0.01,5.997223e-175,15,"Chir03Ox-b11630.2",6430,"AT3G12430",1014,1025,NA,NA,"T2E22.25","3'-5' exonuclease activity, biological_process, cytoplasm, nucleic acid binding, nucleus","Chir03Ox-b11630.2"
"Chir05Ox-b21370.2",1.664235e-136,0.4691254,0.153,0.01,3.271887e-132,15,"Chir05Ox-b21370.2",11988,"AT3G55720",1706,1783,NA,NA,"BDR7","biological_process, molecular_function, nucleus","Chir05Ox-b21370.2"
"Chir08Ox-b15360.2",1.904239e-82,0.4088428,0.115,0.01,3.743735e-78,15,"Chir08Ox-b15360.2",19287,"AT5G53486",1410,1171,NA,NA,NA,"chloroplast, mitochondrion, molecular_function, organelle organization, tissue development","Chir08Ox-b15360.2"
"Chir07Ox-b33780.2",0,0.4973852,0.358,0.011,0,15,"Chir07Ox-b33780.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b33780.2"
"Chir02Ox-b16050.2",3.052693e-190,0.2547632,0.191,0.012,6.001595e-186,15,"Chir02Ox-b16050.2",4455,"AT1G69600",1050,1390,"Yes","ZF-HD","ZFHD1","DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, response to water deprivation, transcription cis-regulatory region binding","Chir02Ox-b16050.2"
"Chir03Ox-b09230.2",1.041194e-109,0.2519879,0.145,0.012,2.046988e-105,15,"Chir03Ox-b09230.2",6220,"AT3G10000",4784,2407,"Yes","Trihelix","AT3G10000.1","DNA-binding transcription factor activity, nucleus, polar nucleus fusion, regulation of DNA-templated transcription","Chir03Ox-b09230.2"
"Chir03Ox-b33180.2",6.876885e-188,0.2713784,0.199,0.013,1.351996e-183,15,"Chir03Ox-b33180.2",7994,"AT2G18500",1249,1316,NA,NA,"ATOFP7","negative regulation of DNA-templated transcription, nucleus","Chir03Ox-b33180.2"
"Chir04Ox-b11850.2",0,0.8276891,0.396,0.014,0,15,"Chir04Ox-b11850.2",8904,"AT2G30230",925,1118,NA,NA,"T9D9.4","molecular_function, response to fungus","Chir04Ox-b11850.2"
"Chir01Ox-b24570.2",7.241146e-198,0.5458099,0.213,0.014,1.423609e-193,15,"Chir01Ox-b24570.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b24570.2"
"Chir08Ox-b11580.2",1.129122e-144,0.3445331,0.18,0.014,2.219854e-140,15,"Chir08Ox-b11580.2",19028,"AT5G50360",1719,1265,NA,NA,"AITR5","molecular_function, negative regulation of DNA-templated transcription initiation, nucleus","Chir08Ox-b11580.2"
"Chir05Ox-b18730.2",1.357319e-137,0.2983494,0.18,0.014,2.668489e-133,15,"Chir05Ox-b18730.2",11769,"AT3G53232",616,745,NA,NA,"RTFL1","cellular response to oxygen-containing compound, hormone-mediated signaling pathway, molecular_function, negative regulation of cell population proliferation, plasma membrane, response to abscisic acid, response to wounding, shoot system development","Chir05Ox-b18730.2"
"Chir01Ox-b23240.2",0,0.7687351,0.473,0.015,0,15,"Chir01Ox-b23240.2",1964,"AT1G23380",5448,5410,"Yes","TALE","KNAT6","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, meristem maintenance, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding","Chir01Ox-b23240.2"
"Chir07Ox-b36270.22",8.317949e-122,0.5081558,0.18,0.016,1.635309e-117,15,"Chir07Ox-b36270.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b36270.22"
"Chir08Ox-b07320.2",1.41337e-125,0.3807169,0.194,0.018,2.778684e-121,15,"Chir08Ox-b07320.2",18785,"AT4G10910",990,743,NA,NA,"F25I24.120","biological_process, molecular_function, nucleus","Chir08Ox-b07320.2"
"Chir08Ox-b14280.2",1.99912e-108,0.359167,0.178,0.018,3.93027e-104,15,"Chir08Ox-b14280.2",19207,"AT5G52600",864,1004,"Yes","MYB","AtMYB82","cell differentiation, nucleus, positive regulation of DNA-templated transcription, transcription cis-regulatory region binding, trichome differentiation","Chir08Ox-b14280.2"
"Chir03Ox-b11670.2",4.223307e-280,1.89741,0.301,0.02,8.303022e-276,15,"Chir03Ox-b11670.2",6434,"AT3G12500",1682,1848,NA,NA,"ATHCHIB","cell wall macromolecule catabolic process, chitinase activity, defense response to fungus, extracellular region, intracellular anatomical structure, jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway, plant-type vacuole, secretory vesicle, vacuole","Chir03Ox-b11670.2"
"Chir07Ox-b31590.2",4.610799e-31,0.3761578,0.107,0.02,9.06483e-27,15,"Chir07Ox-b31590.2",17744,"AT4G34400",2574,2681,"Yes","B3","REM17","cellular component biogenesis, chloroplast, defense response to other organism, flower development, phyllome development, protein-containing complex assembly, regionalization, tissue development","Chir07Ox-b31590.2"
"Chir06Ox-b12190.2",0,0.8291818,0.492,0.021,0,15,"Chir06Ox-b12190.2",13306,"AT5G27220",4798,4587,NA,NA,"T21B4.130","cytoplasm, floral whorl development, molecular_function","Chir06Ox-b12190.2"
"Chir08Ox-b15230.2",2.108552e-149,0.4201241,0.227,0.021,4.145414e-145,15,"Chir08Ox-b15230.2",19276,"AT5G53370",2374,2181,NA,NA,"ATPMEPCRF","cell wall modification, enzyme inhibitor activity, extracellular region, nucleus, pectin catabolic process, pectinesterase activity, pectinesterase inhibitor activity, positive regulation of nucleobase-containing compound metabolic process","Chir08Ox-b15230.2"
"Chir05Ox-b23360.2",4.028878e-57,0.250165,0.142,0.021,7.920773e-53,15,"Chir05Ox-b23360.2",12147,"AT3G57670",4569,2834,"Yes","C2H2","NTT","anatomical structure development, cell fate determination, DNA-binding transcription factor activity, fruit replum development, nucleus, pollen tube growth, primary root development, regulation of DNA-templated transcription, regulation of gene expression, transmitting tissue development","Chir05Ox-b23360.2"
"Chir03Ox-b23410.21",0,2.356732,0.888,0.024,0,15,"Chir03Ox-b23410.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b23410.21"
"Chir06Ox-b35280.2",7.489197e-119,0.3452726,0.219,0.024,1.472376e-114,15,"Chir06Ox-b35280.2",15208,"AT5G03680",3302,3436,"Yes","Trihelix","PTL","DNA binding, DNA-binding transcription factor activity, establishment of petal orientation, kinase binding, negative regulation of organ growth, nucleus, perianth development, petal development, protein homodimerization activity, regulation of DNA-templated transcription, regulation of flower development, sepal development, transcription cis-regulatory region binding","Chir06Ox-b35280.2"
"Chir05Ox-b03500.2",1.178722e-46,0.3308189,0.142,0.024,2.317367e-42,15,"Chir05Ox-b03500.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b03500.2"
"Chir08Ox-b30210.21",0,0.8830825,0.489,0.025,0,15,"Chir08Ox-b30210.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b30210.21"
"Chir08Ox-b19950.21",9.969196e-189,1.552165,0.273,0.025,1.959944e-184,15,"Chir08Ox-b19950.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b19950.21"
"Chir06Ox-b27250.2",7.029233e-148,0.4579252,0.246,0.025,1.381947e-143,15,"Chir06Ox-b27250.2",14538,"AT5G11930",779,771,NA,NA,"AT5G11930.1","carbohydrate derivative metabolic process, carboxylic acid metabolic process, glutathione oxidoreductase activity, mitochondrion, protein binding, response to jasmonic acid, response to wounding, secondary metabolic process","Chir06Ox-b27250.2"
"Chir04Ox-b29520.21",2.895039e-104,0.3448335,0.208,0.025,5.691647e-100,15,"Chir04Ox-b29520.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b29520.21"
"Chir06Ox-b20310.2",0,0.8927071,0.374,0.026,0,15,"Chir06Ox-b20310.2",13963,"AT5G18840",3634,3886,NA,NA,"F17K4.90","carbohydrate transmembrane transporter activity, membrane, sugar transmembrane transporter activity, transmembrane transport, transmembrane transporter activity","Chir06Ox-b20310.2"
"Chir01Ox-b09450.21",1.595492e-125,0.405637,0.232,0.026,3.136736e-121,15,"Chir01Ox-b09450.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b09450.21"
"Chir03Ox-b15410.22",9.359244e-37,0.5334749,0.134,0.026,1.840027e-32,15,"Chir03Ox-b15410.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b15410.22"
"Chir06Ox-b29150.21",2.256537e-33,0.2511599,0.131,0.027,4.436351e-29,15,"Chir06Ox-b29150.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b29150.21"
"Chir04Ox-b12670.21",8.404967e-32,0.2809118,0.128,0.027,1.652416e-27,15,"Chir04Ox-b12670.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b12670.21"
"Chir08Ox-b22580.21",1.331119e-123,0.3668733,0.238,0.028,2.616979e-119,15,"Chir08Ox-b22580.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b22580.21"
"Chir08Ox-b12900.2",6.884397e-114,0.3092169,0.23,0.028,1.353472e-109,15,"Chir08Ox-b12900.2",19101,"AT5G51330",3424,3208,NA,NA,"DYAD","female meiosis sister chromatid cohesion, male meiosis sister chromatid cohesion, nucleus, reciprocal meiotic recombination","Chir08Ox-b12900.2"
"Chir01Ox-b11440.22",1.066553e-259,1.975013,0.344,0.029,2.096843e-255,15,"Chir01Ox-b11440.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b11440.22"
"Chir06Ox-b18260.2",4.857901e-100,0.3609764,0.221,0.029,9.550634e-96,15,"Chir06Ox-b18260.2",13786,"AT5G20830",4206,5181,NA,NA,"SUS1","cellular response to hypoxia, cytosol, plasmodesma, response to cold, response to flooding, response to glucose, response to hypoxia, response to mannitol, response to osmotic stress, response to sorbitol, response to sucrose, response to water deprivation, sucrose metabolic process, sucrose synthase activity","Chir06Ox-b18260.2"
"Chir03Ox-b30850.2",9.166629e-92,0.2723672,0.213,0.029,1.802159e-87,15,"Chir03Ox-b30850.2",7837,"AT2G16750",4346,3742,NA,NA,"T24I21.16","cytoplasm, gibberellin mediated signaling pathway, nucleus, plasma membrane, positive regulation of cell division, protein phosphorylation, response to gibberellin, transmembrane receptor protein tyrosine kinase activity","Chir03Ox-b30850.2"
"Chir01Ox-b22200.2",4.992399e-82,0.3046703,0.199,0.029,9.815056e-78,15,"Chir01Ox-b22200.2",1884,"AT1G22490",2471,2610,"Yes","bHLH","bHLH094","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding","Chir01Ox-b22200.2"
"Chir05Ox-b26380.2",8.755145e-68,0.3187516,0.183,0.029,1.721262e-63,15,"Chir05Ox-b26380.2",12364,"AT3G60520",1254,1148,NA,NA,"T8B10.180","carbohydrate biosynthetic process, cell wall biogenesis, cellular response to hypoxia, cellular_component, molecular_function, plant-type cell wall organization or biogenesis, response to cold, response to hypoxia, response to light stimulus, response to water deprivation, sulfur compound metabolic process","Chir05Ox-b26380.2"
"Chir01Ox-b13690.21",0,2.658237,0.648,0.03,0,15,"Chir01Ox-b13690.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b13690.21"
"Chir06Ox-b36910.2",0,0.8099844,0.577,0.03,0,15,"Chir06Ox-b36910.2",15345,"AT5G02030",3721,3558,"Yes","TALE","LSN","cytosol, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, floral whorl morphogenesis, fruit development, internode patterning, maintenance of floral meristem identity, maintenance of inflorescence meristem identity, negative regulation of DNA-templated transcription, nucleus, pattern specification process, plant organ formation, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, secondary shoot formation, sequence-specific DNA binding, shoot system development, vegetative to reproductive phase transition of meristem, xylem and phloem pattern formation, xylem development","Chir06Ox-b36910.2"
"Chir02Ox-b15410.2",0,0.705368,0.421,0.03,0,15,"Chir02Ox-b15410.2",4397,"AT3G59270",2278,1327,NA,NA,"F25L23.130","biological_process, molecular_function, nucleus","Chir02Ox-b15410.2"
"Chir05Ox-b02790.21",4.930416e-121,0.4264984,0.243,0.03,9.693198e-117,15,"Chir05Ox-b02790.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b02790.21"
"Chir02Ox-b17390.21",1.782976e-15,1.346879,0.101,0.03,3.505331e-11,15,"Chir02Ox-b17390.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b17390.21"
"Chir02Ox-b25980.2",1.750586e-40,0.4099522,0.153,0.031,3.441652e-36,15,"Chir02Ox-b25980.2",5244,"AT1G78850",2002,1675,NA,NA,"GAL1","apoplast, cellular response to hypoxia, extracellular region, glycosaminoglycan binding, Golgi apparatus, mitochondrion, plant-type cell wall, plant-type vacuole, response to sodium phosphate, secretory vesicle","Chir02Ox-b25980.2"
"Chir03Ox-b19030.21",0,1.210269,0.505,0.032,0,15,"Chir03Ox-b19030.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b19030.21"
"Chir03Ox-b24740.21",1.12783e-260,0.9286919,0.374,0.033,2.217313e-256,15,"Chir03Ox-b24740.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b24740.21"
"Chir03Ox-b22490.2",1.871366e-44,0.2789987,0.164,0.033,3.679105e-40,15,"Chir03Ox-b22490.2",7323,"AT3G22410",2852,2806,NA,NA,"MCB17.14","aging, maintenance of meristem identity, molecular_function, nucleus, root morphogenesis","Chir03Ox-b22490.2"
"Chir04Ox-b07680.2",4.361121e-68,0.2887082,0.199,0.034,8.573964e-64,15,"Chir04Ox-b07680.2",8628,"AT2G26710",3869,3358,NA,NA,"BAS1","brassinosteroid homeostasis, brassinosteroid metabolic process, heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, response to brassinosteroid, response to light stimulus, steroid hydroxylase activity","Chir04Ox-b07680.2"
"Chir02Ox-b24760.21",5.494011e-193,0.4625285,0.333,0.035,1.080123e-188,15,"Chir02Ox-b24760.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b24760.21"
"Chir02Ox-b24710.2",1.262805e-57,0.3289337,0.191,0.035,2.482675e-53,15,"Chir02Ox-b24710.2",5141,"AT1G77640",901,1172,"Yes","ERF","AT1G77640.1","defense response to bacterium, DNA-binding transcription factor activity, growth, nucleus, regulation of defense response, regulation of DNA-templated transcription, response to chitin, signal transduction, transcription cis-regulatory region binding","Chir02Ox-b24710.2"
"Chir05Ox-b05790.2",2.0337e-186,0.411837,0.325,0.036,3.998253e-182,15,"Chir05Ox-b05790.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b05790.2"
"Chir02Ox-b12770.21",1.944591e-115,0.5026455,0.265,0.036,3.823066e-111,15,"Chir02Ox-b12770.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b12770.21"
"Chir04Ox-b27920.2",4.429347e-91,0.3121554,0.238,0.036,8.708097e-87,15,"Chir04Ox-b27920.2",10229,"AT2G45080",1334,1101,NA,NA,"cycp3;1","cellular response to radiation, cytoplasm, protein kinase binding, regulation of cyclin-dependent protein serine/threonine kinase activity, tissue development","Chir04Ox-b27920.2"
"Chir03Ox-b03760.2",0,1.563901,0.749,0.038,0,15,"Chir03Ox-b03760.2",5759,"AT3G04510",1191,1325,NA,NA,"LSH2","chemical homeostasis, mRNA transcription, nucleus, post-embryonic plant morphogenesis, response to light stimulus","Chir03Ox-b03760.2"
"Chir04Ox-b23500.2",5.02398e-68,0.286634,0.213,0.038,9.877146e-64,15,"Chir04Ox-b23500.2",9860,"AT2G40750",2007,2109,"Yes","WRKY","WRKY54","defense response to bacterium, defense response to fungus, DNA-binding transcription factor activity, negative regulation of leaf senescence, nucleus, protein binding, regulation of brassinosteroid mediated signaling pathway, regulation of defense response, regulation of DNA-templated transcription, regulation of ethylene-activated signaling pathway, regulation of jasmonic acid mediated signaling pathway, regulation of response to osmotic stress, regulation of response to water deprivation, regulation of salicylic acid mediated signaling pathway, regulation of stomatal closure, response to osmotic stress, response to reactive oxygen species, response to salicylic acid, transcription cis-regulatory region binding","Chir04Ox-b23500.2"
"Chir07Ox-b33410.21",0,1.134005,0.489,0.039,0,15,"Chir07Ox-b33410.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b33410.21"
"Chir06Ox-b24480.2",8.70963e-143,0.3538848,0.303,0.039,1.712313e-138,15,"Chir06Ox-b24480.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b24480.2"
"Chir03Ox-b23130.2",1.294561e-86,0.3189274,0.24,0.039,2.545107e-82,15,"Chir03Ox-b23130.2",7378,"AT3G23090",2769,2917,NA,NA,"WDL3","cortical microtubule, cortical microtubule organization, microtubule binding, microtubule cytoskeleton organization, negative regulation of unidimensional cell growth, nucleus, protein binding, unidimensional cell growth","Chir03Ox-b23130.2"
"Chir02Ox-b23540.2",6.223941e-52,0.4006516,0.194,0.039,1.223627e-47,15,"Chir02Ox-b23540.2",5040,"AT1G76420",2572,2239,"Yes","NAC","NAC368","DNA-binding transcription factor activity, meristem initiation, nucleus, organ boundary specification between lateral organs and the meristem, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding","Chir02Ox-b23540.2"
"Chir05Ox-b28870.2",9.632216e-76,0.2557861,0.23,0.04,1.893694e-71,15,"Chir05Ox-b28870.2",12583,"AT3G63210",1522,1966,NA,NA,"AT3G63210.1","cytoplasmic stress granule, kinase binding, nucleus, P-body, protein binding, response to abscisic acid, response to glucose, response to mannose, response to sucrose, seed dormancy process","Chir05Ox-b28870.2"
"Chir05Ox-b19860.21",2.487557e-154,0.4504493,0.322,0.041,4.890536e-150,15,"Chir05Ox-b19860.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b19860.21"
"Chir08Ox-b04660.2",4.111374e-85,0.3464943,0.249,0.042,8.082961e-81,15,"Chir08Ox-b04660.2",18628,"AT4G04630",1550,1137,NA,NA,"F4H6.15","biological_process, molecular_function, nucleus","Chir08Ox-b04660.2"
"Chir04Ox-b25540.2",2.604542e-139,0.373743,0.311,0.043,5.120529e-135,15,"Chir04Ox-b25540.2",10033,"AT2G42800",2035,2359,NA,NA,"AtRLP29","carboxylic acid metabolic process, cytokinesis, membrane, plant-type cell wall organization or biogenesis, plasma membrane, radial pattern formation, tissue development","Chir04Ox-b25540.2"
"Chir08Ox-b09120.21",8.366915e-53,0.2695915,0.205,0.043,1.644936e-48,15,"Chir08Ox-b09120.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b09120.21"
"Chir05Ox-b01000.21",5.658283e-27,0.2874407,0.158,0.044,1.112419e-22,15,"Chir05Ox-b01000.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b01000.21"
"Chir03Ox-b05330.22",7.223611e-87,0.4079643,0.262,0.045,1.420162e-82,15,"Chir03Ox-b05330.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b05330.22"
"Chir04Ox-b20970.2",2.437022e-20,0.2775366,0.145,0.045,4.791185e-16,15,"Chir04Ox-b20970.2",9646,"AT2G38465",688,725,NA,NA,NA,"cellular catabolic process, cellular_component, molecular_function, organic substance catabolic process, response to abscisic acid, seed development, signal transduction","Chir04Ox-b20970.2"
"Chir08Ox-b07590.21",1.9444e-27,0.3362096,0.164,0.046,3.822691e-23,15,"Chir08Ox-b07590.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b07590.21"
